****** begin! ******
****** step1 ******
episode 0, total reward -444.3598298980317
/home/yunke/git/DL_MBMF/experiment/MBMF_agent.py:201: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  s = torch.from_numpy(np.vstack((t.s for t in transitions if t is not None))).float().to(self.device)
episode 1, total reward -368.1331918406629
episode 2, total reward -382.956224308998
episode 3, total reward -460.96740030734446
episode 4, total reward -296.9050475253487
episode 5, total reward -272.01596369514874
episode 6, total reward -370.14405264227986
episode 7, total reward -365.5844595216943
episode 8, total reward -367.83641149074896
episode 9, total reward -369.3248453106933
episode 10, total reward -462.4861284558019
episode 11, total reward -459.74189428657735
episode 12, total reward -475.5706259918072
episode 13, total reward -411.4998262279415
episode 14, total reward -466.59514408493743
episode 15, total reward -486.77968965507563
episode 16, total reward -450.43441188642373
episode 17, total reward -263.959283048385
episode 18, total reward -486.91465017146925
episode 19, total reward -458.0664729001673
episode 20, total reward -472.24158622060594
start test!
average_test_reward_sum = -472.68468356383727
episode 21, total reward -363.958943615485
episode 22, total reward -454.00261906702804
episode 23, total reward -548.1099653421991
episode 24, total reward -479.52194287431587
episode 25, total reward -467.27559700445937
episode 26, total reward -470.2477408485358
episode 27, total reward -460.0837979077384
episode 28, total reward -616.2466894883103
episode 29, total reward -469.32914198647734
episode 30, total reward -679.9202973030905
episode 31, total reward -468.33136536110294
episode 32, total reward -433.25364364103496
episode 33, total reward -366.7240681489538
episode 34, total reward -429.23285325280204
episode 35, total reward -479.68540428839293
episode 36, total reward -548.4678655746102
episode 37, total reward -352.88861369010965
episode 38, total reward -381.0200553342493
episode 39, total reward -678.2519052788667
episode 40, total reward -262.1398895419064
start test!
average_test_reward_sum = -498.0066639615804
episode 41, total reward -376.66923155433904
episode 42, total reward -379.975842063499
episode 43, total reward -456.5478937559119
episode 44, total reward -374.59552040181404
episode 45, total reward -381.23870284811096
episode 46, total reward -366.86913785928425
episode 47, total reward -474.8718168549768
episode 48, total reward -570.2300872520573
episode 49, total reward -660.9706641816916
episode 50, total reward -428.83316776687263
episode 51, total reward -466.6685572670002
episode 52, total reward -591.8639322659448
episode 53, total reward -643.8416494846595
episode 54, total reward -595.3887039248444
episode 55, total reward -568.3390011753884
episode 56, total reward -498.2368190926321
episode 57, total reward -521.3359556384726
episode 58, total reward -564.4108801234187
episode 59, total reward -475.37065879526233
episode 60, total reward -456.7123425666387
start test!
average_test_reward_sum = -558.7962618575427
episode 61, total reward -493.9536975925812
episode 62, total reward -346.28622576515056
episode 63, total reward -507.9877023562486
episode 64, total reward -326.14730089432084
episode 65, total reward -245.36511938857672
episode 66, total reward -501.0323771964967
episode 67, total reward -433.4919277929651
episode 68, total reward -456.09589877109846
episode 69, total reward -701.312216711887
episode 70, total reward -542.9592665802417
episode 71, total reward -556.6733250433153
episode 72, total reward -548.6295652122465
episode 73, total reward -458.5887463285971
episode 74, total reward -519.3725945857253
episode 75, total reward -364.610069450756
episode 76, total reward -407.615400540385
episode 77, total reward -631.3890478404072
episode 78, total reward -357.16475813216937
episode 79, total reward -536.6075416228261
episode 80, total reward -359.5379791157749
start test!
average_test_reward_sum = -552.6251195007563
episode 81, total reward -371.30095224032186
episode 82, total reward -481.9124902688404
episode 83, total reward -477.9659470539394
episode 84, total reward -459.7896993962071
episode 85, total reward -378.60705576758414
episode 86, total reward -376.01771248705325
episode 87, total reward -582.1262902425308
episode 88, total reward -546.3814915292647
episode 89, total reward -378.8132631080265
episode 90, total reward -606.3855299794938
episode 91, total reward -271.55970709813744
episode 92, total reward -458.2251067666684
episode 93, total reward -366.6770707062214
episode 94, total reward -377.2091356192126
episode 95, total reward -462.0210457557779
episode 96, total reward -471.27785938288974
episode 97, total reward -396.30589908666053
episode 98, total reward -538.6705371557714
episode 99, total reward -486.9356863924999
episode 100, total reward -557.3143696581251
start test!
average_test_reward_sum = -519.0876738428169
episode 101, total reward -488.7537606445337
episode 102, total reward -475.2448241322856
episode 103, total reward -381.3125972935801
episode 104, total reward -366.1161722666274
episode 105, total reward -254.7664583890015
episode 106, total reward -340.1346923788441
episode 107, total reward -663.2528351538399
episode 108, total reward -650.2232288550833
episode 109, total reward -654.5989667646858
episode 110, total reward -470.31251346223536
episode 111, total reward -644.7583328638364
episode 112, total reward -377.2551531812136
episode 113, total reward -464.4355537474353
episode 114, total reward -363.8046048779441
episode 115, total reward -689.1306627969996
episode 116, total reward -338.03399228102865
episode 117, total reward -534.6708355793423
episode 118, total reward -510.630482176172
episode 119, total reward -416.64491897499653
episode 120, total reward -365.9347200911384
start test!
average_test_reward_sum = -537.0376280395503
