****** begin! ******
****** step1 ******
episode 0, total reward -361.01173543188855
/home/yunke/git/DL_MBMF/experiment/MBMF_agent.py:201: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  s = torch.from_numpy(np.vstack((t.s for t in transitions if t is not None))).float().to(self.device)
episode 1, total reward -363.6920394625003
episode 2, total reward -546.7404338414058
episode 3, total reward -538.7505520479181
episode 4, total reward -679.761217458804
episode 5, total reward -536.0368982083593
episode 6, total reward -357.64197130168344
episode 7, total reward -374.17086309842324
episode 8, total reward -473.5265446306076
episode 9, total reward -527.0926982677189
episode 10, total reward -610.3826750871971
episode 11, total reward -291.61783121748647
episode 12, total reward -615.002548230183
episode 13, total reward -362.80264913721146
episode 14, total reward -280.9462434877065
episode 15, total reward -473.6405202613289
episode 16, total reward -382.4126720889468
episode 17, total reward -624.1510635274449
episode 18, total reward -269.0685295788503
episode 19, total reward -350.994675217832
episode 20, total reward -291.99498377309254
start test!
average_test_reward_sum = -537.9135311023247
episode 21, total reward -451.40075655871294
episode 22, total reward -593.0872842699046
episode 23, total reward -350.9943185792236
episode 24, total reward -260.38171004342706
episode 25, total reward -376.62069164689217
episode 26, total reward -399.0174798975552
episode 27, total reward -488.7091175423218
episode 28, total reward -256.0832527800308
episode 29, total reward -364.04920051399904
episode 30, total reward -603.6985822936101
episode 31, total reward -441.4447811154085
episode 32, total reward -495.1075393556315
episode 33, total reward -383.34522363456216
episode 34, total reward -363.95813521389067
episode 35, total reward -557.5671122954753
episode 36, total reward -402.5453361753308
episode 37, total reward -361.4131446328206
episode 38, total reward -355.6174784580895
episode 39, total reward -396.0131130009571
episode 40, total reward -359.43383257652465
start test!
average_test_reward_sum = -493.22099115803655
episode 41, total reward -364.55331772468315
episode 42, total reward -645.3632460789929
episode 43, total reward -514.863532085414
episode 44, total reward -442.04291656133785
episode 45, total reward -457.37864197476557
episode 46, total reward -470.10397737184104
episode 47, total reward -383.8668603691072
episode 48, total reward -366.66266936253527
episode 49, total reward -548.4474962099159
episode 50, total reward -253.53073356911693
episode 51, total reward -341.17355614103826
episode 52, total reward -369.25734001718274
episode 53, total reward -466.46447378804567
episode 54, total reward -393.8034822171825
episode 55, total reward -668.5321161449651
episode 56, total reward -371.4651116595317
episode 57, total reward -477.3654224470172
episode 58, total reward -252.04464772267596
episode 59, total reward -597.7184748301067
episode 60, total reward -363.717542026206
start test!
average_test_reward_sum = -521.4499316442073
episode 61, total reward -468.1695059882532
episode 62, total reward -376.8833721091507
episode 63, total reward -449.1692525213649
episode 64, total reward -261.74830562188157
episode 65, total reward -570.8023697969304
episode 66, total reward -347.58581970024323
episode 67, total reward -607.2320065871809
episode 68, total reward -397.01058142766124
episode 69, total reward -492.0494815670969
episode 70, total reward -447.69290785727975
episode 71, total reward -666.8020026382202
episode 72, total reward -667.7700160615293
episode 73, total reward -384.87933783852725
episode 74, total reward -358.31368606810815
episode 75, total reward -406.68010189395113
episode 76, total reward -578.443237513003
episode 77, total reward -468.86789708960424
episode 78, total reward -638.7092056918447
episode 79, total reward -467.54235142818686
episode 80, total reward -370.03949665337746
start test!
average_test_reward_sum = -527.5271547899678
episode 81, total reward -476.0072524899849
episode 82, total reward -364.2127268253936
episode 83, total reward -579.6597180114156
episode 84, total reward -380.17896404571076
episode 85, total reward -498.3862921186133
episode 86, total reward -578.4919521577555
episode 87, total reward -363.89329778538155
episode 88, total reward -454.1833367892618
episode 89, total reward -505.30494043035895
episode 90, total reward -374.1522828180325
episode 91, total reward -503.89344540677814
episode 92, total reward -458.2892065349985
episode 93, total reward -448.08586861887846
episode 94, total reward -500.2077650649792
episode 95, total reward -308.9203866070024
episode 96, total reward -524.4813671790462
episode 97, total reward -274.39894230595183
episode 98, total reward -477.8365882904286
episode 99, total reward -506.58988048572735
episode 100, total reward -510.81005101678574
start test!
average_test_reward_sum = -528.1450684524352
episode 101, total reward -626.5947073189304
episode 102, total reward -251.8027350352454
episode 103, total reward -384.71047560410733
episode 104, total reward -512.6885737130644
episode 105, total reward -603.2930763877794
episode 106, total reward -474.4366230854949
episode 107, total reward -368.01834601566674
episode 108, total reward -550.718929283296
episode 109, total reward -360.6070181112099
episode 110, total reward -361.3769737873053
episode 111, total reward -291.30697718383703
episode 112, total reward -492.1082455277785
episode 113, total reward -293.37684675153207
episode 114, total reward -355.3520771267524
episode 115, total reward -328.51121832419466
episode 116, total reward -611.4070877816064
episode 117, total reward -513.2055368474937
episode 118, total reward -497.7689822427607
episode 119, total reward -385.90318253882936
episode 120, total reward -374.5791924353521
start test!
average_test_reward_sum = -527.8936280875439
