****** begin! ******
****** step1 ******
episode 0, total reward -343.1650811730087
/home/yunke/git/DL_MBMF/experiment/MBMF_agent.py:201: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  s = torch.from_numpy(np.vstack((t.s for t in transitions if t is not None))).float().to(self.device)
episode 1, total reward -638.4564189829472
episode 2, total reward -673.4533210488089
episode 3, total reward -447.35633234582116
episode 4, total reward -595.9738837355866
episode 5, total reward -375.1905350648786
episode 6, total reward -488.88862318708254
episode 7, total reward -348.82194692969745
episode 8, total reward -498.2756443363004
episode 9, total reward -377.832648735231
episode 10, total reward -695.6819256978602
episode 11, total reward -435.2724809403684
episode 12, total reward -619.9853943046207
episode 13, total reward -621.5228909030515
episode 14, total reward -685.8164267243457
episode 15, total reward -241.08160122377987
episode 16, total reward -506.88818105040036
episode 17, total reward -561.2226848320422
episode 18, total reward -631.127036459949
episode 19, total reward -451.07062362234166
episode 20, total reward -268.77788143238774
start test!
average_test_reward_sum = -483.8570516317938
episode 21, total reward -252.3832904321102
episode 22, total reward -358.46869561167523
episode 23, total reward -403.6341794767102
episode 24, total reward -365.4107757296817
episode 25, total reward -489.7982256859961
episode 26, total reward -526.2671555828497
episode 27, total reward -381.6024721393378
episode 28, total reward -490.0275956625225
episode 29, total reward -407.2399351512584
episode 30, total reward -477.3089305794083
episode 31, total reward -401.3942102971494
episode 32, total reward -476.09015183894223
episode 33, total reward -482.4360045680813
episode 34, total reward -514.7467813747995
episode 35, total reward -388.414618858297
episode 36, total reward -641.3356990313337
episode 37, total reward -661.9232964289904
episode 38, total reward -362.7275822419882
episode 39, total reward -556.4443434039681
episode 40, total reward -509.78911077261336
start test!
average_test_reward_sum = -484.75373945532266
episode 41, total reward -248.2278623837207
episode 42, total reward -464.2932684956769
episode 43, total reward -374.4869649275981
episode 44, total reward -378.3800359337485
episode 45, total reward -505.58066482959
episode 46, total reward -585.1198396480413
episode 47, total reward -466.96502339087897
episode 48, total reward -331.71316849786064
episode 49, total reward -420.724390008142
episode 50, total reward -356.36862282406776
episode 51, total reward -578.2786600266784
episode 52, total reward -365.91608065114025
episode 53, total reward -468.6272703566011
episode 54, total reward -451.45254942440357
episode 55, total reward -506.9550808433958
episode 56, total reward -259.339033712226
episode 57, total reward -477.398483283361
episode 58, total reward -480.49040581396304
episode 59, total reward -627.5713660289645
episode 60, total reward -498.98016953714756
start test!
average_test_reward_sum = -500.37962121438534
episode 61, total reward -631.5981836760081
episode 62, total reward -323.09924672142716
episode 63, total reward -414.12805097715864
episode 64, total reward -251.00310604427867
episode 65, total reward -311.80894621762195
episode 66, total reward -246.82022251789525
episode 67, total reward -423.6809141147787
episode 68, total reward -310.5929133345147
episode 69, total reward -630.5366804188985
episode 70, total reward -479.88044480495586
episode 71, total reward -552.2070120705764
episode 72, total reward -395.9098165126071
episode 73, total reward -367.46652026565926
episode 74, total reward -564.044319702661
episode 75, total reward -491.1103907545078
episode 76, total reward -675.1586327997792
episode 77, total reward -434.7492624787801
episode 78, total reward -507.65137783844403
episode 79, total reward -277.9232625248557
episode 80, total reward -349.1835205276318
start test!
average_test_reward_sum = -465.0494498733895
episode 81, total reward -527.3254510623019
episode 82, total reward -613.5330219238505
episode 83, total reward -257.45873767810406
episode 84, total reward -257.490537502994
episode 85, total reward -317.623539221944
episode 86, total reward -373.9643587768335
episode 87, total reward -368.00526693071293
episode 88, total reward -591.3652033308156
episode 89, total reward -252.57066981680933
episode 90, total reward -421.49060584464956
episode 91, total reward -486.4006369733951
episode 92, total reward -362.6585314494314
episode 93, total reward -501.96607067356905
episode 94, total reward -252.5400598191688
episode 95, total reward -479.7802647684537
episode 96, total reward -247.010587754976
episode 97, total reward -611.9635148316027
episode 98, total reward -369.47598821064696
episode 99, total reward -570.4163080158941
episode 100, total reward -359.17005352856404
start test!
average_test_reward_sum = -437.5516578373493
episode 101, total reward -332.80778004308206
episode 102, total reward -360.24409393475224
episode 103, total reward -364.46495362332547
episode 104, total reward -434.4810317426839
episode 105, total reward -595.0315213476988
episode 106, total reward -475.58758758430554
episode 107, total reward -467.58800020686476
episode 108, total reward -663.4149847910834
episode 109, total reward -462.6615615370382
episode 110, total reward -549.0785394045884
episode 111, total reward -695.8152231659191
episode 112, total reward -606.796388889746
episode 113, total reward -469.83702096357825
episode 114, total reward -481.8344081442462
episode 115, total reward -625.6394240012971
episode 116, total reward -377.34213675670486
episode 117, total reward -386.2013234656651
episode 118, total reward -539.2055525803473
episode 119, total reward -374.60561190212536
episode 120, total reward -412.09558523600856
start test!
average_test_reward_sum = -539.6827079342158
