****** begin! ******
****** step1 ******
episode 0, total reward -573.6744993729882
/home/yunke/git/DL_MBMF/experiment/MBMF_agent.py:201: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  s = torch.from_numpy(np.vstack((t.s for t in transitions if t is not None))).float().to(self.device)
episode 1, total reward -504.2259274816671
episode 2, total reward -598.0317486428888
episode 3, total reward -621.0290589113478
episode 4, total reward -470.1242867519855
episode 5, total reward -351.69550030675487
episode 6, total reward -260.53352833728815
episode 7, total reward -363.3534083013185
episode 8, total reward -596.7122205596902
episode 9, total reward -282.50966807815803
episode 10, total reward -364.1938895539153
episode 11, total reward -252.78928989371224
episode 12, total reward -250.62880443155345
episode 13, total reward -604.1612042227197
episode 14, total reward -263.11082594920634
episode 15, total reward -380.7987836479286
episode 16, total reward -564.4080346620829
episode 17, total reward -395.38501253386613
episode 18, total reward -566.2033651202097
episode 19, total reward -376.742745414079
episode 20, total reward -353.53780427923306
start test!
average_test_reward_sum = -478.7873531045419
episode 21, total reward -632.1601285856427
episode 22, total reward -577.124052030161
episode 23, total reward -478.2335385390147
episode 24, total reward -366.3612870889955
episode 25, total reward -247.6187803149002
episode 26, total reward -463.49111159413667
episode 27, total reward -613.3922088196781
episode 28, total reward -450.9365681730332
episode 29, total reward -662.9760811110982
episode 30, total reward -491.8592550207402
episode 31, total reward -463.14025486992756
episode 32, total reward -364.42716763800155
episode 33, total reward -364.0657207720397
episode 34, total reward -641.7595109207706
episode 35, total reward -514.824831404653
episode 36, total reward -290.51245115387354
episode 37, total reward -383.189478490736
episode 38, total reward -637.5648715679122
episode 39, total reward -478.87625368384886
episode 40, total reward -265.5588360396148
start test!
average_test_reward_sum = -543.0862555132176
episode 41, total reward -249.20281331856657
episode 42, total reward -360.01290670177013
episode 43, total reward -359.40556171611723
episode 44, total reward -293.4793202636319
episode 45, total reward -651.5528956183492
episode 46, total reward -469.27046204104994
episode 47, total reward -531.191385299077
episode 48, total reward -617.2886621606312
episode 49, total reward -532.6587388351851
episode 50, total reward -603.879617992978
episode 51, total reward -586.3622826958916
episode 52, total reward -659.1789268159515
episode 53, total reward -413.00224111978525
episode 54, total reward -371.07506071470095
episode 55, total reward -265.2824032999905
episode 56, total reward -533.3829178466422
episode 57, total reward -258.055157805593
episode 58, total reward -423.2324462903776
episode 59, total reward -320.0722883990614
episode 60, total reward -545.6482205222376
start test!
average_test_reward_sum = -459.963959702391
episode 61, total reward -250.72610392780837
episode 62, total reward -252.47529497603185
episode 63, total reward -499.44512218607167
episode 64, total reward -441.43881550037094
episode 65, total reward -612.8550546429602
episode 66, total reward -257.10205404479643
episode 67, total reward -381.7487642638876
episode 68, total reward -470.64703063675364
episode 69, total reward -639.297771596847
episode 70, total reward -413.6441264377121
episode 71, total reward -525.8067266261397
episode 72, total reward -406.0310689852227
episode 73, total reward -675.1003035812442
episode 74, total reward -414.1267628809421
episode 75, total reward -519.6039703228332
episode 76, total reward -623.2012068678557
episode 77, total reward -640.7834488909712
episode 78, total reward -371.1638798255175
episode 79, total reward -305.6298755803935
episode 80, total reward -617.6980678158943
start test!
average_test_reward_sum = -468.20680483990543
episode 81, total reward -271.20136496504284
episode 82, total reward -483.6418074244719
episode 83, total reward -448.7298153128821
episode 84, total reward -610.4129000383386
episode 85, total reward -620.1223270394203
episode 86, total reward -469.9962730704223
episode 87, total reward -307.451127937599
episode 88, total reward -362.053184041963
episode 89, total reward -439.12418334700595
episode 90, total reward -585.8141927899086
episode 91, total reward -355.87472771476064
episode 92, total reward -610.3235719727779
episode 93, total reward -300.84922949832225
episode 94, total reward -430.44135003025923
episode 95, total reward -336.637519780102
episode 96, total reward -558.020140034836
episode 97, total reward -254.55287711644047
episode 98, total reward -521.9966695789545
episode 99, total reward -252.11339684839416
episode 100, total reward -390.98772490191055
start test!
average_test_reward_sum = -453.34541617643464
episode 101, total reward -417.0869365101363
episode 102, total reward -364.4556224181216
episode 103, total reward -373.12290673230524
episode 104, total reward -429.7561706688548
episode 105, total reward -446.5010400302192
episode 106, total reward -488.32439570741207
episode 107, total reward -607.485942482789
episode 108, total reward -390.8385630260031
episode 109, total reward -649.205235140038
episode 110, total reward -454.98602067705707
episode 111, total reward -366.83500124284586
episode 112, total reward -516.2749344199042
episode 113, total reward -406.6956303283745
episode 114, total reward -666.8126776765705
episode 115, total reward -451.6427881803623
episode 116, total reward -252.22919262919945
episode 117, total reward -561.3156416971664
episode 118, total reward -484.27663487643923
episode 119, total reward -441.2598074867015
episode 120, total reward -461.36848951263886
start test!
average_test_reward_sum = -510.6402035420459
episode 121, total reward -624.0174444157484
