****** begin! ******
****** step1 ******
episode 0, total reward -455.1859862528011
/home/yunke/git/DL_MBMF/experiment/MBMF_agent.py:201: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  s = torch.from_numpy(np.vstack((t.s for t in transitions if t is not None))).float().to(self.device)
episode 1, total reward -667.1714316532341
episode 2, total reward -617.6580004755745
episode 3, total reward -381.814156727676
episode 4, total reward -374.15347524760085
episode 5, total reward -459.75316867135894
episode 6, total reward -451.8146135176872
episode 7, total reward -461.0978651177789
episode 8, total reward -576.3303455682438
episode 9, total reward -352.0182877030082
episode 10, total reward -660.3428359682091
episode 11, total reward -576.4326578007019
episode 12, total reward -505.7006223421013
episode 13, total reward -456.4462586508381
episode 14, total reward -653.6544376234583
episode 15, total reward -282.0960237415363
episode 16, total reward -305.5068657729316
episode 17, total reward -360.1283515113038
episode 18, total reward -525.413231413755
episode 19, total reward -375.6449079603064
episode 20, total reward -463.5877183661978
start test!
average_test_reward_sum = -501.52411828168914
episode 21, total reward -542.1074947346534
episode 22, total reward -641.544023947184
episode 23, total reward -632.2080635273385
episode 24, total reward -472.3359186301317
episode 25, total reward -533.5995121432622
episode 26, total reward -360.1121564725107
episode 27, total reward -544.0119848743891
episode 28, total reward -579.8315692243024
episode 29, total reward -364.9933208060718
episode 30, total reward -471.6578711111947
episode 31, total reward -389.03872069504223
episode 32, total reward -419.84980537692593
episode 33, total reward -530.1646792562661
episode 34, total reward -490.39106111803545
episode 35, total reward -251.2822659874179
episode 36, total reward -454.3557627611615
episode 37, total reward -486.12109457529834
episode 38, total reward -495.0130144483217
episode 39, total reward -390.1752532071267
episode 40, total reward -252.44543021039652
start test!
average_test_reward_sum = -551.9407262041774
episode 41, total reward -460.42416401240615
episode 42, total reward -489.99907481081055
episode 43, total reward -571.6710167663555
episode 44, total reward -553.248888761473
episode 45, total reward -535.6554937635943
episode 46, total reward -482.2853732212254
episode 47, total reward -477.1447300301701
episode 48, total reward -296.7334471186184
episode 49, total reward -456.8064689271441
episode 50, total reward -657.841125765849
episode 51, total reward -297.20389118360526
episode 52, total reward -288.033728546255
episode 53, total reward -517.0863377568007
episode 54, total reward -493.1067890184869
episode 55, total reward -667.8405210051354
episode 56, total reward -365.3984639555178
episode 57, total reward -371.7976382211135
episode 58, total reward -533.7892962678962
episode 59, total reward -618.0879057217041
episode 60, total reward -271.051586184503
start test!
average_test_reward_sum = -503.2891022501215
episode 61, total reward -380.02285344966845
episode 62, total reward -516.7918251143299
episode 63, total reward -457.201269733493
episode 64, total reward -462.32655536445895
episode 65, total reward -469.2069538809697
episode 66, total reward -440.5952854193664
episode 67, total reward -451.4058203978872
episode 68, total reward -602.9434418449458
episode 69, total reward -336.71341226713776
episode 70, total reward -500.29886129940826
episode 71, total reward -354.1234444058136
episode 72, total reward -519.5238673360943
episode 73, total reward -583.0953512851421
episode 74, total reward -637.7447566819767
episode 75, total reward -289.34535005479984
episode 76, total reward -524.0590346581865
episode 77, total reward -459.3832403464749
episode 78, total reward -363.0441205014005
episode 79, total reward -524.7842967379482
episode 80, total reward -453.3267938872788
start test!
average_test_reward_sum = -483.8225624215459
episode 81, total reward -458.3855849040618
episode 82, total reward -264.198903432682
episode 83, total reward -350.33265518870445
episode 84, total reward -558.9662554020325
episode 85, total reward -488.25625361432
episode 86, total reward -564.5475334007382
episode 87, total reward -255.40519255247594
episode 88, total reward -466.1032007098475
episode 89, total reward -491.1542642539141
episode 90, total reward -487.6727726678455
episode 91, total reward -501.1835849860412
episode 92, total reward -605.4773598812037
episode 93, total reward -659.3175422244215
episode 94, total reward -363.56177170721793
episode 95, total reward -367.6127044241427
episode 96, total reward -666.7642446597291
episode 97, total reward -364.8581693148198
episode 98, total reward -387.83442949188884
episode 99, total reward -456.6850292405341
episode 100, total reward -472.04653382465017
start test!
average_test_reward_sum = -523.3359561143245
episode 101, total reward -273.3489420937693
episode 102, total reward -474.7334129302467
episode 103, total reward -248.53742342207536
episode 104, total reward -582.22939057153
episode 105, total reward -328.0152135139665
episode 106, total reward -709.2864920718276
episode 107, total reward -497.2489540718011
episode 108, total reward -362.41163442506314
episode 109, total reward -409.4940426957847
episode 110, total reward -352.5921590940573
episode 111, total reward -488.13510149440475
episode 112, total reward -389.77019895901014
episode 113, total reward -532.5112675496603
episode 114, total reward -458.46614182878443
episode 115, total reward -608.8489816669737
episode 116, total reward -564.32037996757
episode 117, total reward -622.752117290112
episode 118, total reward -522.0353565404474
episode 119, total reward -525.1279787728873
episode 120, total reward -361.18813576966664
start test!
average_test_reward_sum = -508.37787232617166
