****** begin! ******
****** step1 ******
episode 0, total reward -305.36208882493764
/home/yunke/git/DL_MBMF/experiment/MBMF_agent.py:201: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  s = torch.from_numpy(np.vstack((t.s for t in transitions if t is not None))).float().to(self.device)
episode 1, total reward -400.3683512922228
episode 2, total reward -427.3668168008439
episode 3, total reward -353.9777931817357
episode 4, total reward -640.1155469316433
episode 5, total reward -519.8824318287197
episode 6, total reward -673.2032134626222
episode 7, total reward -514.5420466445246
episode 8, total reward -370.6145319487947
episode 9, total reward -362.72364943039264
episode 10, total reward -475.4710824469005
episode 11, total reward -636.869658134318
episode 12, total reward -257.2142903469513
episode 13, total reward -275.4570557906457
episode 14, total reward -566.9773746859215
episode 15, total reward -368.94206699081116
episode 16, total reward -250.38582081848682
episode 17, total reward -469.72540130232255
episode 18, total reward -385.70113919030075
episode 19, total reward -355.78211151300195
episode 20, total reward -628.0539436329036
start test!
average_test_reward_sum = -446.1777591182243
episode 21, total reward -431.9832109566895
episode 22, total reward -338.09361974394824
episode 23, total reward -460.7781579336546
episode 24, total reward -470.11747859973093
episode 25, total reward -567.2723733258864
episode 26, total reward -564.0880647031754
episode 27, total reward -677.3267949630116
episode 28, total reward -600.5011162752479
episode 29, total reward -458.1301095763976
episode 30, total reward -541.3084223336261
episode 31, total reward -284.4502429571884
episode 32, total reward -330.66468495767805
episode 33, total reward -259.4623346827092
episode 34, total reward -464.31070917363076
episode 35, total reward -250.3351947664075
episode 36, total reward -363.1791063130317
episode 37, total reward -467.23030917569884
episode 38, total reward -368.46152377295147
episode 39, total reward -243.23636907976058
episode 40, total reward -639.0008105108907
start test!
average_test_reward_sum = -513.0436631717962
episode 41, total reward -580.1221916536875
episode 42, total reward -456.02356986061443
episode 43, total reward -438.4483281230601
episode 44, total reward -308.3158135119482
episode 45, total reward -365.42276414473093
episode 46, total reward -489.52474112806357
episode 47, total reward -569.2441084434428
episode 48, total reward -387.4956022812396
episode 49, total reward -634.2813414152341
episode 50, total reward -658.5933649788466
episode 51, total reward -337.8423308834299
episode 52, total reward -351.68600346124055
episode 53, total reward -320.75928322619984
episode 54, total reward -464.53995752177804
episode 55, total reward -361.02323689691315
episode 56, total reward -261.7067180768131
episode 57, total reward -410.26926889154475
episode 58, total reward -474.3874719140427
episode 59, total reward -249.37832218137254
episode 60, total reward -475.15578724003376
start test!
average_test_reward_sum = -504.11286786119126
episode 61, total reward -367.64436238784145
episode 62, total reward -402.90997836421826
episode 63, total reward -415.35414138466575
episode 64, total reward -369.0840175199848
episode 65, total reward -380.7968293463525
episode 66, total reward -488.71978551298236
episode 67, total reward -351.929064055653
episode 68, total reward -363.3354216895889
episode 69, total reward -553.286883581827
episode 70, total reward -468.42273628249274
episode 71, total reward -362.6210123345124
episode 72, total reward -647.4392376469449
episode 73, total reward -465.6757758406616
episode 74, total reward -636.1174784025525
episode 75, total reward -622.5271712050017
episode 76, total reward -362.58331356337055
episode 77, total reward -429.72467559447745
episode 78, total reward -519.1861777809256
episode 79, total reward -373.54004041543163
episode 80, total reward -363.8925776054432
start test!
average_test_reward_sum = -515.340236238392
episode 81, total reward -465.5098788224693
episode 82, total reward -605.8964888782041
episode 83, total reward -684.1290703567829
episode 84, total reward -376.10841334727036
episode 85, total reward -550.5122973809423
episode 86, total reward -523.7676249381641
episode 87, total reward -469.6981548561634
episode 88, total reward -469.13608166987564
episode 89, total reward -320.6356498193968
episode 90, total reward -636.439958378621
episode 91, total reward -358.2913285066353
episode 92, total reward -656.2685759252521
episode 93, total reward -364.23054178050745
episode 94, total reward -453.3820548739303
episode 95, total reward -677.3623383226949
episode 96, total reward -661.7285030997792
episode 97, total reward -485.8097802217684
episode 98, total reward -363.1801916764892
episode 99, total reward -652.010086051603
episode 100, total reward -365.6901537436633
start test!
average_test_reward_sum = -538.6305060411394
episode 101, total reward -334.00165916383327
episode 102, total reward -459.9491394290117
episode 103, total reward -404.06289602802315
episode 104, total reward -307.5671601358408
episode 105, total reward -655.1683070782119
episode 106, total reward -636.0281331297565
episode 107, total reward -610.595119781129
episode 108, total reward -457.1692836531912
episode 109, total reward -674.7835715491547
episode 110, total reward -320.62115157560424
episode 111, total reward -285.7946919004806
episode 112, total reward -497.7837449968216
episode 113, total reward -409.3450799962788
episode 114, total reward -641.6212407584461
episode 115, total reward -529.9500437979202
episode 116, total reward -376.2464158570052
episode 117, total reward -285.96457173803685
episode 118, total reward -515.1850619775712
episode 119, total reward -466.7319829444719
episode 120, total reward -358.9408441039498
start test!
average_test_reward_sum = -492.11775999610535
