****** begin! ******
****** step1 ******
episode 0, total reward -549.498502532012
/home/yunke/git/DL_MBMF/experiment/MBMF_agent.py:201: FutureWarning: arrays to stack must be passed as a "sequence" type such as list or tuple. Support for non-sequence iterables such as generators is deprecated as of NumPy 1.16 and will raise an error in the future.
  s = torch.from_numpy(np.vstack((t.s for t in transitions if t is not None))).float().to(self.device)
episode 1, total reward -579.8428145237916
episode 2, total reward -372.57834452350124
episode 3, total reward -468.31084226270673
episode 4, total reward -384.240676731577
episode 5, total reward -430.290957029858
episode 6, total reward -451.4471153217247
episode 7, total reward -363.1025338608705
episode 8, total reward -523.5436126283834
episode 9, total reward -367.6837690943136
episode 10, total reward -665.8567144158452
episode 11, total reward -364.59819975482054
episode 12, total reward -375.32916220372334
episode 13, total reward -536.4324748810341
episode 14, total reward -320.7373878584345
episode 15, total reward -366.1179284897581
episode 16, total reward -446.6410628489669
episode 17, total reward -377.95689602087
episode 18, total reward -365.7383374870338
episode 19, total reward -285.7495580585822
episode 20, total reward -633.2752039640168
start test!
average_test_reward_sum = -498.53375801569
episode 21, total reward -241.9064662737966
episode 22, total reward -362.3378441526271
episode 23, total reward -249.97343589383865
episode 24, total reward -372.5190522877023
episode 25, total reward -690.5929637205115
episode 26, total reward -392.7507324087169
episode 27, total reward -444.6283832845297
episode 28, total reward -619.8416363013695
episode 29, total reward -257.54158745241284
episode 30, total reward -428.5839869751319
episode 31, total reward -376.88019810694675
episode 32, total reward -374.75222059757755
episode 33, total reward -373.5855117898181
episode 34, total reward -496.8531541169091
episode 35, total reward -476.73907607566355
episode 36, total reward -575.8808594808442
episode 37, total reward -659.430873047764
episode 38, total reward -253.41566967330695
episode 39, total reward -606.0612200981656
episode 40, total reward -420.2497208684081
start test!
average_test_reward_sum = -541.7186646863644
episode 41, total reward -688.6814153527808
episode 42, total reward -556.1596292467523
episode 43, total reward -264.86677100123495
episode 44, total reward -577.768310939014
episode 45, total reward -595.352827173246
episode 46, total reward -576.0493542632079
episode 47, total reward -363.8790779817695
episode 48, total reward -310.34700562396995
episode 49, total reward -558.2897560706785
episode 50, total reward -366.2725532925585
episode 51, total reward -621.0337189391045
episode 52, total reward -376.6309275687156
episode 53, total reward -361.89392630736876
episode 54, total reward -428.6150854088951
episode 55, total reward -491.9734416357398
episode 56, total reward -372.9554941519379
episode 57, total reward -438.726017833689
episode 58, total reward -412.25471919595316
episode 59, total reward -374.1107738535236
episode 60, total reward -688.7831402177495
start test!
average_test_reward_sum = -492.75470263948154
episode 61, total reward -603.9698814499569
episode 62, total reward -271.8885773940735
episode 63, total reward -439.5544099276351
episode 64, total reward -364.33337164467497
episode 65, total reward -670.594935229016
episode 66, total reward -361.75041228848005
episode 67, total reward -488.9322913400344
episode 68, total reward -566.9922668351644
episode 69, total reward -590.1617077567688
episode 70, total reward -579.3501033561529
episode 71, total reward -251.23278981852553
episode 72, total reward -589.398140189739
episode 73, total reward -379.1007701267101
episode 74, total reward -556.8961919238559
episode 75, total reward -458.2490225352136
episode 76, total reward -524.4080168874091
episode 77, total reward -376.4431188544048
episode 78, total reward -332.4325287487898
episode 79, total reward -527.1373518951274
episode 80, total reward -326.16731075595544
start test!
average_test_reward_sum = -529.1516860239303
episode 81, total reward -694.7255077875933
episode 82, total reward -666.545779550509
episode 83, total reward -708.1696968904458
episode 84, total reward -500.90337443273506
episode 85, total reward -130.47101732186005
episode 86, total reward -638.5260567258042
episode 87, total reward -542.7322604000503
episode 88, total reward -363.74793860987376
episode 89, total reward -552.7891987821768
episode 90, total reward -509.4332681112225
episode 91, total reward -499.097263439743
episode 92, total reward -363.8051363748114
episode 93, total reward -449.19525541025007
episode 94, total reward -585.1992995565766
episode 95, total reward -357.8487101801097
episode 96, total reward -303.72178904449754
episode 97, total reward -470.04212556271307
episode 98, total reward -317.70386692237486
episode 99, total reward -357.55625536439914
episode 100, total reward -378.5363262523284
start test!
average_test_reward_sum = -510.0232226743653
episode 101, total reward -256.02126911913086
episode 102, total reward -688.8358964228415
episode 103, total reward -531.135107451609
episode 104, total reward -375.50439944018336
episode 105, total reward -367.63209662329956
episode 106, total reward -554.1198054930215
episode 107, total reward -518.4514165940986
episode 108, total reward -373.18011470083917
episode 109, total reward -592.7238212375736
episode 110, total reward -322.7850178910452
episode 111, total reward -489.67889257349236
episode 112, total reward -506.29222783942504
episode 113, total reward -365.72559226227054
episode 114, total reward -266.5769385549598
episode 115, total reward -292.707604336878
episode 116, total reward -473.2877165360375
episode 117, total reward -298.52102355585293
episode 118, total reward -490.2063405123734
episode 119, total reward -654.1829597538106
episode 120, total reward -393.4163447478031
start test!
average_test_reward_sum = -504.02367721048756
episode 121, total reward -603.9555578778991
